,Heart,Valve,Ventricle,Atrium,Osteoblast,Adipocyte,Stromal cell,Chondrocyte,Bone marrow,Adipose,Colon mucosa,Gastric epithelial cell,Hepatic stellate cell,Hepatocyte,Alpha cell,Colon,Esophagus,Beta cell,Liver,Intestinal epithelial cell,Pancreatic islet,Small intestine,Tlymphocyte,Plasma cell,Blymphocyte,Spleen,Kupffer cell,Dendritic cell,Plasmacytoid dendritic cell,Macrophage,Thymus,Neutrophil,Microglia,Thymocyte,Granulocyte,Melanocyte,Fibroblast,Keratinocyte,Skin,Basal cell,Hair follicle,Vascular smooth muscle,Myofibroblast,Myoblast,Airway smooth muscle,Skeletal muscle,Oligodendrocyte,Astrocyte,Neuron,Medulla,Pons,Motor neuron,Sensory neuron,Midbrain,Hypothalamus,Cerebral cortex,Thalamus,Retina,Spinal cord,Cerebellum,Lung epithelial cell,Lung,Trachea,Podocyte,Granulosa,Oocyte,Kidney,Mammary gland,Ovary,Breast,Testis,Renal cortex
RRM2,5.28658,4.6359,4.11061,4.19301,9.47718,5.45333,8.08192,7.72151,9.05172,5.57065,9.72985,8.42268,8.19977,5.78326,3.76961,10.2119,10.1719,6.43118,6.70196,8.10429,4.21911,7.56194,9.1614,8.85952,11.1288,8.09316,5.07618,5.4302,4.47438,7.29945,9.72913,6.62962,7.52411,10.8581,6.84575,9.35561,9.4937,9.85522,8.42013,8.59108,7.66584,8.41274,10.052,8.94647,5.67402,3.28517,9.0923,9.4297,7.96808,6.92768,6.88087,7.52411,2.41968,4.43111,3.83218,8.58029,3.70787,6.19474,2.61696,2.92457,11.7729,9.64619,8.02123,10.5512,9.24034,11.3311,9.90025,10.967,9.02366,10.761,7.88546,3.39116
SHMT2,10.2683,9.53675,8.42987,8.02389,11.0716,10.5512,10.7302,10.976,9.23621,8.44788,10.986,11.2608,11.5581,11.2587,7.18296,10.4955,10.8071,8.85852,11.1714,8.31511,7.00978,8.17773,10.8028,9.85522,11.6545,9.66727,11.0916,9.65078,9.17058,9.45601,9.16523,9.07164,9.61522,9.15573,6.8527,10.9623,10.7008,11.1753,9.93459,10.5279,9.64499,11.3801,10.944,10.3869,10.5322,9.17908,9.63365,9.91936,9.63365,8.06643,9.22288,9.36086,9.2492,9.27139,8.22132,9.78569,8.31686,9.09035,7.70431,7.06978,10.8049,10.4729,10.0012,10.5641,10.1648,10.0895,10.4968,10.5798,9.99164,10.7397,5.79718,8.94069
SLC1A5,8.55681,9.50509,7.0628,7.63315,11.8005,11.7337,11.2996,11.0438,8.79565,10.8873,10.776,11.4847,12.21,6.83834,3.70787,10.9454,11.1875,5.1434,7.28786,8.88994,0.113644,7.27416,10.3212,10.5901,10.8924,9.6281,8.1278,9.81463,11.6562,9.49929,8.32748,8.95941,8.61561,7.13293,7.355,10.0971,11.2382,11.5793,10.3035,10.5751,8.76013,11.5793,11.4964,9.75323,12.1038,6.4358,8.37323,9.14276,8.11086,9.16775,9.21084,7.4407,9.15057,6.32801,8.06575,7.41439,7.85883,5.93591,8.02846,3.05618,11.7829,10.7349,10.9388,10.8164,10.5077,10.4095,10.3981,11.4577,10.6,11.4539,8.73922,10.1024
SNRPA,7.62734,8.10111,7.74975,7.37059,8.65847,8.06575,8.42013,8.61401,8.72108,7.45576,9.82351,8.92673,8.8032,8.25667,6.73209,9.473,9.1244,7.65794,8.37004,8.07078,1.20968,8.03713,9.72339,7.18296,10.0642,9.04138,8.14902,8.74132,9.62411,8.61253,9.31213,8.71085,8.00294,8.81277,7.7649,8.59277,8.6722,9.40874,8.56752,8.86348,7.83721,8.13314,8.87352,8.54244,8.04956,8.26064,9.00084,8.47383,8.50053,8.79582,8.64827,8.05706,8.12035,7.76726,9.27156,8.84597,9.14276,7.74975,7.34635,5.93591,9.9432,9.17601,8.83547,9.36558,9.5597,9.17908,9.39381,9.45601,9.17123,9.44375,8.27501,7.25779
SNRPB,9.50235,9.19171,8.77923,8.44523,10.4178,9.66947,10.0203,9.85972,10.5247,8.33771,10.6664,11.4167,10.534,10.2241,9.56796,10.879,11.9235,9.50453,9.76853,9.13877,9.6997,9.61646,11.4463,9.54182,11.2163,10.923,9.58654,10.2683,10.9449,10.3256,10.4517,10.3793,9.26327,9.65078,10.1668,10.7726,10.3098,11.1105,10.3971,10.4349,9.75695,9.95441,10.7272,10.2253,9.37075,9.49134,9.27797,9.68444,9.74156,10.0942,10.2356,9.61646,9.17601,9.39597,8.97815,9.31486,8.78423,9.41671,7.45868,6.88087,12.4214,10.9421,10.5047,11.3556,11.2226,10.7634,11.0058,11.1299,10.6573,11.1555,9.99616,8.9462
TACC3,5.93591,7.15835,6.13094,5.90632,8.64989,6.18762,7.11459,7.4111,8.94647,5.63312,9.01155,9.02096,7.92253,6.4358,0.113644,9.32468,9.0884,5.53299,7.11933,6.29852,0.113644,6.76675,10.276,5.65482,10.1282,9.60558,6.12034,8.75978,8.84983,8.73944,10.1843,10.9035,7.77871,9.81116,10.5564,8.73552,8.40087,9.20348,7.69006,8.07872,7.52795,7.51341,8.0819,7.43403,5.95167,5.67402,8.84201,8.57799,7.39734,6.98284,9.39711,6.63774,6.49365,5.39755,5.88569,8.00955,5.51459,6.4358,5.59303,4.56034,10.144,9.0923,7.19727,9.73205,10.0916,11.6718,9.75723,9.27172,9.56325,9.57757,9.93829,4.94577
TCF19,5.40837,7.26034,5.57065,4.65403,8.17235,5.88569,6.76675,7.37623,6.27464,6.33362,7.5115,7.74405,7.38969,5.04875,0.113644,7.75625,8.15151,3.39116,5.45333,5.84629,0.113644,5.07842,8.51653,6.53965,9.1969,7.99022,4.99084,6.4358,6.9754,6.62962,7.82948,6.52893,6.14657,8.50053,6.05806,8.15833,7.57981,8.31686,7.68261,7.62119,7.27907,6.30103,8.00126,6.64674,6.53965,6.03426,5.74381,7.12679,5.3649,5.644,6.59685,3.76961,4.51527,3.28517,4.43111,6.21059,4.31312,5.34282,4.05534,4.96278,8.29989,7.47443,6.60849,9.18212,6.77298,6.79623,7.87338,8.89919,7.10509,8.64827,3.28517,4.65403
TCF3,8.09635,9.33158,7.42671,6.72129,10.024,8.63133,9.36962,9.37537,8.92642,8.19977,10.0746,10.532,10.1989,8.97048,5.23546,10.1352,8.86891,8.4129,7.89087,7.94622,0.113644,8.34337,10.1192,9.78239,11.2052,9.22288,9.24895,9.2492,10.9581,8.6722,10.5788,9.46474,9.18821,10.2534,7.21817,9.5734,9.8076,10.2791,9.24262,9.29666,9.83427,10.272,9.91355,9.04961,9.91936,8.18352,10.7284,10.3685,9.56961,9.12284,9.15057,8.95941,7.33897,9.02569,8.86664,11.0288,8.86664,8.41856,8.15772,6.06605,8.80027,9.43595,8.63669,10.1227,10.4561,9.96159,9.73525,9.95995,10.3258,10.1109,9.8014,8.17152
TGIF2,7.557,6.83068,6.86236,7.32673,7.61479,7.10033,7.59665,7.197,8.43938,7.40438,8.60258,8.78819,7.66804,7.96808,5.96743,7.75933,7.73975,6.88576,7.59665,6.9754,6.51705,7.24729,9.255,8.60355,9.31251,9.15057,7.27051,8.23902,9.31717,8.30694,8.73299,8.99301,8.72286,8.55124,8.51887,8.3748,7.49889,7.63847,7.26034,7.9143,6.9791,7.23871,7.46935,7.94538,7.47443,5.5331,8.40087,8.18352,7.80204,7.99069,8.31335,7.69006,2.61696,6.22573,6.26032,7.68023,6.24863,7.66095,5.59303,4.05534,7.30801,7.78223,7.68261,8.27173,8.15116,8.64543,8.74681,8.59038,9.11934,8.38924,8.46906,9.00115
TIMELESS,6.68963,7.14364,5.67402,5.3292,8.36647,7.18296,7.88307,7.07696,8.74681,7.47164,8.97016,9.2156,8.0758,8.27579,8.17363,8.93702,9.21322,8.45197,8.55124,6.46263,7.85883,8.73944,9.35542,8.956,10.0564,8.53362,8.03301,7.87338,8.44459,8.05298,8.91852,7.32318,8.35184,9.68003,6.58408,8.92107,8.45606,8.86348,8.08888,7.98143,7.71764,7.67462,8.05736,8.3629,6.87137,6.11658,8.94859,8.62357,8.57341,8.02107,7.80204,8.61549,9.5765,7.77871,7.24729,8.20306,7.03818,9.43086,5.69219,4.99416,10.5171,8.96158,7.41835,9.67538,9.1131,9.16516,9.44964,9.72329,9.2405,9.54449,8.35798,6.68529
TK1,4.21911,4.61724,3.64478,3.1737,8.7545,4.93037,7.81791,7.20429,7.49889,3.1737,8.6124,9.5761,8.29015,6.3224,0.113644,9.27797,10.7337,3.1737,6.51705,5.79185,0.113644,4.51527,7.61504,4.74622,10.0933,6.73209,5.83491,6.11658,5.34282,6.49365,7.46656,5.51459,5.02256,7.53071,6.27387,8.34983,8.46109,9.01458,7.59665,7.7248,6.75821,6.90917,9.04378,8.01669,6.14657,5.20789,5.20789,6.72289,4.87314,6.49362,5.59303,3.56825,2.16272,1.20968,3.28517,4.96097,3.28517,3.48123,2.77595,2.41968,11.3649,8.63669,7.41835,10.1755,8.5725,8.15951,8.53721,9.57436,7.96411,10.077,3.86401,5.50423
TOP2A,5.76006,6.09051,3.89584,3.05618,10.7988,7.24729,8.97836,9.21418,8.45365,6.03426,11.7793,8.51987,8.84753,5.78326,0.113644,10.6813,11.5431,5.45216,6.65623,8.91263,0.113644,7.71533,9.4297,8.03713,12.155,8.04272,5.57224,5.59303,5.25971,6.9657,10.8135,5.74381,9.88811,12.5853,6.1725,9.36151,10.5136,10.6089,9.21322,10.3892,9.13533,9.2176,10.6834,9.63581,7.02366,2.77595,11.552,10.9281,10.2673,8.52763,6.90917,8.89763,2.41968,3.05618,3.89584,11.0813,2.77595,7.90259,2.41968,0.113644,12.5299,10.6602,8.84201,12.4722,9.28411,10.5247,11.3348,12.1967,9.63148,11.6446,11.4626,3.56825
TP53,9.06234,9.39902,6.93041,7.57607,9.60225,8.66501,9.50245,9.3242,9.85175,8.42795,9.21123,9.9471,9.9527,8.81003,7.67462,9.45601,9.23839,8.00354,8.63303,8.43216,8.40087,8.17773,9.53567,9.25254,10.2307,9.38776,9.15591,9.14276,9.66508,8.60063,10.0527,8.8243,9.27619,9.94653,7.69723,9.59872,9.51089,9.69473,9.4951,8.86807,9.57543,9.85911,9.68186,9.54554,9.14276,7.29945,9.3095,9.40188,8.53994,9.11166,9.32737,8.66986,7.4111,7.36047,7.58896,10.2048,7.58896,8.38924,7.64512,6.16133,10.2068,9.35878,8.87207,10.325,8.70226,8.15151,9.45919,10.0382,9.02805,10.108,9.50741,7.82172
TRIM28,10.0303,10.4444,10.1826,9.92999,11.4588,10.5835,10.8533,10.8581,10.242,9.24438,11.7399,11.6016,11.639,11.0609,8.56328,11.5763,11.2146,10.1192,10.3098,9.99451,7.90088,10.9934,11.9298,8.66182,11.8304,10.923,10.6255,10.9198,11.4217,10.7901,11.2005,10.7083,10.7755,11.183,10.163,11.8306,11.2978,11.782,11.1339,10.5301,10.7148,11.2089,10.9057,10.2165,11.3118,10.4439,11.8653,11.4962,11.2575,11.0687,10.8467,10.1791,10.9866,10.8637,11.2038,12.1346,11.162,10.2521,10.1851,9.67781,12.0973,11.3273,10.7357,12.2867,11.9371,11.2622,11.6726,12.185,11.711,12.0894,11.0473,11.0432
TROAP,4.00388,3.83218,2.61696,3.48123,6.64699,3.64478,6.21948,5.51459,7.22538,3.1737,7.39378,6.93936,6.01703,3.89584,2.77595,7.72768,8.84482,5.23546,3.83218,5.46896,1.81287,4.99416,6.72289,7.27416,8.71888,5.3649,3.11494,3.83218,3.83272,4.80976,7.44639,3.89584,5.84343,7.94077,4.16691,7.62974,6.88087,7.25523,6.21406,6.29423,5.84343,5.31558,6.55102,6.75783,3.76961,2.61696,7.19727,6.4358,5.91845,5.39808,4.38682,5.81111,1.81287,2.77595,3.28517,6.2509,3.1737,4.45275,1.81287,2.41968,9.3425,7.57981,5.61397,7.32318,8.39286,9.75152,7.87672,8.29331,7.69107,8.49652,7.84294,2.16272
UBE2C,3.48123,3.76961,2.16272,1.81287,7.64581,4.11061,6.18762,5.87595,5.81111,1.81287,8.35713,8.26761,7.05535,4.00388,0.113644,8.57032,9.73955,3.563,4.05534,6.29423,0.113644,4.74622,7.51341,1.20968,9.47904,4.89983,3.22943,2.92457,2.41968,5.49388,8.04809,5.34282,6.11658,8.2821,7.17174,7.81923,7.63847,8.51018,6.35023,6.85383,5.86576,6.71195,8.05054,7.43403,4.05534,1.81287,7.7649,7.32318,7.00003,4.94409,4.3519,5.8662,1.20968,1.51127,1.20968,7.18627,1.20968,3.9543,0.113644,0.113644,10.3981,8.37004,6.57131,8.6722,9.10926,11.1544,8.65641,9.53535,8.28379,9.97843,7.54002,1.20968
UBE2I,10.2776,10.5564,9.90965,9.77258,10.3545,9.68221,10.0438,10.2581,10.2086,10.2912,10.3828,10.7242,10.4955,9.72045,9.42566,10.4381,10.3256,9.9715,9.45601,9.09697,8.97048,9.97435,10.8003,9.2492,11.046,10.6745,9.63367,10.3462,10.5347,10.2664,10.7347,10.3227,9.96253,11.193,10.2098,10.6639,10.2991,10.4681,10.2059,10.4038,10.2376,10.341,10.403,9.79244,10.5743,9.61646,9.94494,10.1884,10.2912,9.81412,10.1719,9.89438,10.1422,10.296,10.3793,10.6794,10.2912,9.78667,9.00294,9.15724,11.0445,10.4537,10.4398,10.4155,10.8051,11.0634,10.3513,10.5565,10.5965,10.6394,9.86185,9.39563
UHRF1,6.52893,4.82627,3.28517,6.46691,9.03521,6.01703,8.02123,7.84843,9.0947,5.63312,8.36036,8.06871,8.2821,4.67269,3.89584,8.60355,8.86348,6.45202,5.10633,6.55486,4.59911,6.76675,8.65847,8.26064,9.99094,7.70909,5.13649,6.31418,8.35384,6.53965,9.5822,6.53965,8.57187,9.8076,7.22876,8.3941,8.95472,9.1244,8.15951,7.43737,7.71571,7.49889,8.70915,9.70888,5.82639,5.02256,8.94647,8.9635,8.13855,7.17946,6.86236,7.72768,3.05618,5.7726,7.51938,9.18964,6.77744,6.10721,6.09783,5.90239,10.0166,8.77292,7.15725,9.95621,8.73087,10.3905,9.51326,9.70501,8.47884,9.29985,8.01896,4.40897
WRAP53,5.78326,6.0727,5.31558,4.99416,6.6835,6.05008,6.35023,6.30103,6.33362,4.51527,7.08846,7.48403,6.81484,6.39847,3.39116,7.21826,7.59665,6.56568,5.91845,6.48802,0.113644,6.05008,7.79648,0.113644,7.81011,7.42671,5.80246,6.64674,7.41137,6.66685,7.53683,7.32318,5.72615,7.57981,7.60584,7.02726,6.71195,7.35149,6.30103,6.74061,5.49435,6.37631,6.91696,6.39847,5.99799,6.33362,6.71195,6.75783,6.89949,6.28067,7.10033,6.71195,6.92548,6.43733,6.3224,7.42821,6.2249,6.21406,3.83218,3.76961,8.74313,7.29945,6.70196,7.39734,7.33463,7.95029,7.59665,7.29945,6.72289,7.31085,5.70924,5.55381
ZNF581,7.11933,7.46147,5.34282,4.85394,7.03871,6.90917,7.14836,7.38966,6.73209,5.3649,7.18968,7.39813,7.42671,6.64674,4.47438,7.27746,7.10985,5.99799,5.99799,5.90894,0.113644,5.63312,8.01158,0.113644,8.42742,7.57981,6.31555,7.33897,7.46147,7.15725,7.4427,8.02123,6.4358,7.35721,8.25497,7.78589,7.10509,7.65305,6.81484,6.32801,6.73935,7.44713,7.66544,7.04658,7.83709,6.20187,6.33362,6.62962,6.53965,6.16762,7.24729,6.54968,7.03818,5.65357,6.31418,6.09616,5.76006,5.47412,4.38682,3.64478,8.42987,7.21826,7.60281,7.33897,9.27619,8.79963,7.22182,7.1938,7.51639,7.23213,6.03426,5.3292
ZWINT,6.20187,4.96278,4.11061,2.99037,7.78238,5.78326,6.90823,6.16133,7.82002,4.84279,9.08447,8.93588,6.87137,6.35023,0.113644,8.98109,9.5203,5.18213,5.90239,7.3785,0.113644,6.30103,8.57799,4.3519,9.86538,6.45202,5.20805,6.30103,5.07842,6.92548,8.37611,5.04875,6.90917,8.84201,2.99037,8.53871,8.01158,8.51653,7.29406,7.72859,5.19622,6.58321,8.15521,7.57981,5.47412,2.61696,7.21103,7.81395,6.95675,5.63352,5.67402,6.46517,5.98306,2.77595,4.31312,6.95657,4.31312,5.12981,2.16272,0.113644,10.3841,8.54663,7.45868,9.61398,8.80701,9.50118,9.17755,9.70685,8.03149,9.73955,8.81726,3.28517
